2025-10-23 13:07:32 EEST | INFO     | V3_SR | вњ… WUSDT: Zones built successfully (parallel worker)
2025-10-23 13:07:34 EEST | INFO     | V3_SR | вњ… XMRUSDT: Zones built successfully (parallel worker)
2025-10-23 13:07:35 EEST | INFO     | V3_SR | вњ… IOTAUSDT: Zones built successfully (parallel worker)
2025-10-23 13:07:36 EEST | INFO     | V3_SR | вњ… SAHARAUSDT: Zones built successfully (parallel worker)
2025-10-23 13:07:36 EEST | INFO     | V3_SR | вњ… INUSDT: Zones built successfully (parallel worker)
2025-10-23 13:07:36 EEST | INFO     | V3_SR | рџЋ‰ Parallel zone building complete: 227/227 symbols successful
2025-10-23 13:07:36 EEST | INFO     | V3_SR | вњ… Parallel zone building complete: 227 symbols
2025-10-23 13:07:36 EEST | INFO     | V3_SR | рџ”Ќ Analyzing FARTCOINUSDT | Regime: TREND | Dual-Engine Pipeline
2025-10-23 13:07:36 EEST | INFO     | V3_SR | рџ“¦ FARTCOINUSDT zones updated in registry: {'15m': 7, '1h': 7, '4h': 12, '1d': 2}
2025-10-23 13:07:36 EEST | INFO     | V3_SR | рџ”§ M15 engine: 0 raw signals
2025-10-23 13:07:36 EEST | INFO     | V3_SR | рџ”§ H1 engine: 0 raw signals
2025-10-23 13:07:36 EEST | INFO     | V3_SR | вљ–пёЏ Arbitrator: M15 0в†’0, H1 0в†’0
2025-10-23 13:07:36 EEST | INFO     | V3_SR | вњ… FARTCOINUSDT no signals after dual-engine + arbitration
2025-10-23 13:07:36 EEST | INFO     | V3_SR | рџ”Ќ Analyzing TWTUSDT | Regime: TREND | Dual-Engine Pipeline
2025-10-23 13:07:36 EEST | INFO     | V3_SR | рџ“¦ TWTUSDT zones updated in registry: {'15m': 7, '1h': 10, '4h': 6, '1d': 1}
2025-10-23 13:07:36 EEST | INFO     | V3_SR | рџ”§ M15 engine: 0 raw signals
2025-10-23 13:07:36 EEST | INFO     | V3_SR | рџ”§ H1 engine: 0 raw signals
2025-10-23 13:07:36 EEST | INFO     | V3_SR | вљ–пёЏ Arbitrator: M15 0в†’0, H1 0в†’0
2025-10-23 13:07:36 EEST | INFO     | V3_SR | вњ… TWTUSDT no signals after dual-engine + arbitration
