2025-10-19 05:31:20 EEST | INFO     | trading_bot | 📊 AI16ZUSDT OI: Current=85386018, Delta=-249167, DOI%=-0.29%
2025-10-19 05:31:20 EEST | INFO     | trading_bot | ✅ OI History OK for BIOUSDT: 30 records
2025-10-19 05:31:20 EEST | INFO     | trading_bot | 📊 BIOUSDT OI: Current=136398478, Delta=14574, DOI%=0.01%
2025-10-19 05:31:20 EEST | INFO     | trading_bot | ✅ OI History OK for NEIROUSDT: 30 records
2025-10-19 05:31:20 EEST | INFO     | trading_bot | 📊 NEIROUSDT OI: Current=36047592331, Delta=38988526, DOI%=0.11%
2025-10-19 05:31:20 EEST | INFO     | trading_bot | ✅ OI History OK for MORPHOUSDT: 30 records
2025-10-19 05:31:20 EEST | INFO     | trading_bot | 📊 MORPHOUSDT OI: Current=3543756, Delta=8836, DOI%=0.25%
2025-10-19 05:31:20 EEST | INFO     | trading_bot | ✅ OI History OK for ZEREBROUSDT: 30 records
2025-10-19 05:31:20 EEST | INFO     | trading_bot | 📊 ZEREBROUSDT OI: Current=454118241, Delta=1460543, DOI%=0.32%
2025-10-19 05:31:20 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - UNIUSDT 15m
2025-10-19 05:31:20 EEST | INFO     | trading_bot | Saved 3 klines for UNIUSDT 15m
2025-10-19 05:31:20 EEST | INFO     | trading_bot | Downloading historical klines for UNIUSDT 1h from 2025-10-19 01:00:00+00:00 to 2025-10-19 02:05:18.768091+00:00 (1 days)
2025-10-19 05:31:20 EEST | INFO     | trading_bot | ✅ OI History OK for TRUMPUSDT: 30 records
2025-10-19 05:31:20 EEST | INFO     | trading_bot | 📊 TRUMPUSDT OI: Current=7270094, Delta=1563, DOI%=0.02%
2025-10-19 05:31:20 EEST | INFO     | trading_bot | ✅ OI History OK for PNUTUSDT: 30 records
2025-10-19 05:31:20 EEST | INFO     | trading_bot | 📊 PNUTUSDT OI: Current=73272700, Delta=411682, DOI%=0.57%
2025-10-19 05:31:20 EEST | INFO     | trading_bot | ✅ OI History OK for VIRTUALUSDT: 30 records
2025-10-19 05:31:20 EEST | INFO     | trading_bot | 📊 VIRTUALUSDT OI: Current=15366437, Delta=-11871, DOI%=-0.08%
2025-10-19 05:31:20 EEST | INFO     | trading_bot | ✅ OI History OK for KOMAUSDT: 30 records
2025-10-19 05:31:20 EEST | INFO     | trading_bot | 📊 KOMAUSDT OI: Current=153730061, Delta=7511273, DOI%=5.14%
2025-10-19 05:31:20 EEST | INFO     | trading_bot | ✅ OI History OK for SLERFUSDT: 30 records
2025-10-19 05:31:20 EEST | INFO     | trading_bot | 📊 SLERFUSDT OI: Current=63862553, Delta=-1471913, DOI%=-2.25%
2025-10-19 05:31:20 EEST | INFO     | trading_bot | ✅ OI History OK for FARTCOINUSDT: 30 records
2025-10-19 05:31:20 EEST | INFO     | trading_bot | 📊 FARTCOINUSDT OI: Current=116551966, Delta=-73208, DOI%=-0.06%
2025-10-19 05:31:20 EEST | INFO     | trading_bot | ✅ OI History OK for SPXUSDT: 30 records
2025-10-19 05:31:20 EEST | INFO     | trading_bot | 📊 SPXUSDT OI: Current=11426631, Delta=4183, DOI%=0.04%
2025-10-19 05:31:20 EEST | INFO     | trading_bot | ✅ OI History OK for AVAAIUSDT: 30 records
2025-10-19 05:31:20 EEST | INFO     | trading_bot | 📊 AVAAIUSDT OI: Current=209077443, Delta=-307654, DOI%=-0.15%
2025-10-19 05:31:20 EEST | INFO     | trading_bot | ✅ OI History OK for DEGOUSDT: 30 records
