2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - TWTUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 0 klines for TWTUSDT 1h
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - ARKMUSDT 15m
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 1 klines for ARKMUSDT 15m
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for WIFUSDT 4h from 2025-10-18 20:01:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for WIFUSDT 4h from 2025-10-18 20:01:00+00:00 to 2025-10-19 05:16:01.480917+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for ONDOUSDT 15m from 2025-10-19 04:46:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for ONDOUSDT 15m from 2025-10-19 04:46:00+00:00 to 2025-10-19 05:16:01.483919+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for ONDOUSDT 1h from 2025-10-19 04:01:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for ONDOUSDT 1h from 2025-10-19 04:01:00+00:00 to 2025-10-19 05:16:01.485917+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for ONDOUSDT 4h from 2025-10-18 20:01:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for ONDOUSDT 4h from 2025-10-18 20:01:00+00:00 to 2025-10-19 05:16:01.488918+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for JUPUSDT 15m from 2025-10-19 04:46:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for JUPUSDT 15m from 2025-10-19 04:46:00+00:00 to 2025-10-19 05:16:01.490917+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for JUPUSDT 1h from 2025-10-19 04:01:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for JUPUSDT 1h from 2025-10-19 04:01:00+00:00 to 2025-10-19 05:16:01.493917+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Updating missing candles for JUPUSDT 4h from 2025-10-18 20:01:00+00:00
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Downloading historical klines for JUPUSDT 4h from 2025-10-18 20:01:00+00:00 to 2025-10-19 05:16:01.498916+00:00 (1 days)
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - TIAUSDT 4h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 1 klines for TIAUSDT 4h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | 🔄 Binance counter reset: 230→210, cleared pending=40
2025-10-19 08:16:01 EEST | INFO     | trading_bot |   Progress: 100.0% (1/1 days) - 1000FLOKIUSDT 4h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | Saved 1 klines for 1000FLOKIUSDT 4h
2025-10-19 08:16:01 EEST | INFO     | trading_bot | 📊 Rate limiter sync: local=210+0, binance=290 (diff: +80)
